Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
207,1.979663269433044E8,62,1.2926577808572537E8,410,3.5978576101636744E9
210,2.0135484262911358E8,63,1.3097817252120313E8,412,3.6667062578427453E9
211,2.0473839319753355E8,63,1.3266022891239741E8,417,3.735864352053306E9
214,2.0814966916201887E8,63,1.3432000280313295E8,420,3.805203317850405E9
216,2.115533960317342E8,64,1.3597054881294128E8,424,3.874730660192417E9
219,2.1497452799868834E8,65,1.3759728639473984E8,427,3.944421865193794E9
221,2.183875832135623E8,66,1.392090501666089E8,431,4.014244581923229E9
221,2.2177822674537456E8,67,1.4080050175324023E8,437,4.0842152239659767E9
225,2.252114655143851E8,67,1.4236424662319398E8,439,4.154218790139979E9
225,2.2860592771449116E8,67,1.4390704655295205E8,446,4.224343734539867E9
225,2.3200075939992347E8,68,1.4544063372049496E8,452,4.294493869989674E9
228,2.354281386099786E8,69,1.4695387509534928E8,455,4.36462542097494E9
229,2.388364815005584E8,70,1.4845087792126775E8,460,4.434759854089824E9
230,2.422450774716694E8,71,1.4993327132787472E8,465,4.504878810351849E9
230,2.456325600549477E8,72,1.513998688527178E8,471,4.574982727151786E9
231,2.4902126613500503E8,71,1.4926589568974793E8,477,4.64502087035029E9
232,2.5240764017905274E8,72,1.5070087839054513E8,482,4.715013862740351E9
234,2.5580340765093637E8,72,1.5211158422989967E8,487,4.784872973412205E9
234,2.5917326632714882E8,72,1.5350695487225243E8,487,4.854560940552987E9
235,2.62547107111566E8,72,1.5488718589175677E8,494,4.924162902808414E9
235,2.6590441226995715E8,72,1.5625244623289758E8,494,4.993528490578294E9
240,2.6931009267813504E8,72,1.576028392558455E8,497,5.062752043748876E9
243,2.726886170197898E8,72,1.5893844040455696E8,502,5.131853243379572E9
246,2.760623767828228E8,72,1.6025065747239104E8,507,5.20076359782656E9
248,2.794178727886821E8,71,1.5804362159769875E8,513,5.26947042228397E9
252,2.8278358988136095E8,71,1.593251836638381E8,517,5.337958730007587E9
254,2.861194085423096E8,71,1.6059420081759077E8,523,5.406217825715995E9
256,2.894451392362625E8,72,1.618618243690192E8,528,5.474204664984405E9
260,2.927825467751473E8,72,1.631030421745571E8,532,5.541923187675959E9
265,2.961224668968701E8,73,1.6434409584846234E8,534,5.609317020725956E9
266,2.994105043721598E8,73,1.6555951443019706E8,541,5.676462661479579E9
269,3.0271117915654385E8,73,1.667573514827803E8,546,5.743328590063023E9
272,3.059994028779241E8,73,1.6793885084696907E8,551,5.809902894925354E9
273,3.0925360825060105E8,74,1.691187254144583E8,558,5.876289407250167E9
276,3.1251734511820894E8,75,1.7028563268927488E8,563,5.942315681626711E9
278,3.1576335851350623E8,79,1.7148474934720644E8,566,6.00798502608238E9
281,3.190091460584324E8,79,1.726284821197485E8,572,6.073457299710978E9
283,3.2223730418005896E8,81,1.7378363118885604E8,577,6.138590358802874E9
286,3.2546761582950383E8,81,1.749053685518535E8,583,6.203341974628834E9
287,3.2866671614317423E8,83,1.7604431376470765E8,589,6.267631313230176E9
293,3.31910428256372E8,83,1.7715303795433784E8,592,6.331513968272602E9
297,3.351254080508807E8,83,1.7825326473761985E8,597,6.395084377252597E9
297,3.382871865392922E8,82,1.7575716012034023E8,597,6.458331390195594E9
298,3.414467520702399E8,82,1.7684054566588482E8,605,6.521226504321199E9
301,3.44617614820883E8,85,1.7795506590809894E8,608,6.583608966284912E9
302,3.4775835440470827E8,86,1.7904009876862955E8,616,6.645645638788547E9
304,3.509011600220181E8,86,1.765521343495854E8,623,6.707244113516796E9
307,3.5404572694699484E8,86,1.7761311880102533E8,630,6.768399997574209E9
312,3.572133746983122E8,86,1.7867920264221683E8,635,6.829087654509751E9
317,3.6037599216477364E8,87,1.7975275975315538E8,639,6.889330468391326E9
318,3.634870252338731E8,90,1.8084804907770553E8,645,6.949134403323572E9
322,3.6662227847066414E8,90,1.819044345015579E8,651,7.0084904171253195E9
324,3.697281302861776E8,91,1.8297319220017007E8,658,7.067422468463698E9
325,3.728147149602581E8,94,1.840665383437712E8,664,7.125884841156398E9
325,3.758806764636942E8,94,1.851224549743256E8,664,7.183818821102347E9
329,3.789817314553045E8,94,1.86177313265624E8,670,7.2413421297822485E9
334,3.820882088803088E8,94,1.8722874501833284E8,676,7.298412856457252E9
340,3.8520083772087514E8,95,1.882903591211023E8,680,7.354994999571999E9
344,3.8828890667713314E8,94,1.857529226535875E8,687,7.411149472634572E9
346,3.913459459304543E8,95,1.8681224951925135E8,695,7.466867071468576E9
350,3.94419410741665E8,96,1.8787276413729817E8,701,7.522100865304297E9
355,3.9749849241972244E8,97,1.8893478378954473E8,706,7.576869837695522E9
358,4.005517820252993E8,99,1.900114249360066E8,712,7.631188654065137E9
358,4.0356766223985434E8,98,1.8752336361920705E8,712,7.684989333065101E9
361,4.0660986928073657E8,100,1.886049089981845E8,718,7.738474487413082E9
363,4.096405668302462E8,102,1.8969554843280375E8,725,7.791522508550312E9
364,4.126561912992423E8,103,1.9077607319791752E8,735,7.844110626693887E9
367,4.1568570370861834E8,103,1.8829033678804487E8,743,7.896262679190276E9
372,4.187324903171929E8,103,1.8579392566912106E8,749,7.947962751647022E9
376,4.217720116690507E8,105,1.8691640655142415E8,755,7.999226880261864E9
381,4.248271776623198E8,105,1.8802040394929877E8,762,8.0500716111745615E9
387,4.278914849536444E8,107,1.891573827760912E8,766,8.100453456808854E9
388,4.309003008470099E8,108,1.868518309249541E8,775,8.150483708362462E9
390,4.3391593358087754E8,109,1.8799416432240012E8,784,8.200090933709794E9
390,4.3690704110449517E8,109,1.8913361069636074E8,784,8.249220084070234E9
390,4.3989316326643646E8,111,1.903071993308892E8,794,8.298047356824449E9
395,4.429306989568122E8,112,1.9147990712084433E8,801,8.34644614062576E9
397,4.459329226138071E8,113,1.9266486847683996E8,811,8.394524208070989E9
403,4.4897735632469755E8,112,1.9027518635685337E8,818,8.442185386372913E9
404,4.519687434538968E8,114,1.914895781938227E8,828,8.489497454370476E9
407,4.5499885632513183E8,113,1.891084255606872E8,838,8.536535548207836E9
410,4.580313140154576E8,116,1.9035580076875877E8,845,8.5831454118539095E9
413,4.610638002758481E8,118,1.91603478279558E8,853,8.629409923721617E9
415,4.640879061106773E8,118,1.8926714009561467E8,863,8.67535192062224E9
422,4.6716856838198274E8,118,1.9051357579853123E8,870,8.720945524855173E9
427,4.702295238646491E8,120,1.9180110026144078E8,877,8.766201730317537E9
431,4.7328727963805544E8,121,1.93086292786401E8,886,8.81114582197113E9
437,4.7637030531833607E8,121,1.9437503574951062E8,894,8.855748729955252E9
440,4.794248549984225E8,125,1.957298957528638E8,901,8.900015077095932E9
446,4.8251799758001846E8,126,1.9705918297028983E8,908,8.943967350069342E9
452,4.85614745723575E8,126,1.9838699236987343E8,916,8.98762999194097E9
454,4.8867325438763875E8,127,1.9973613971709368E8,928,9.031036055689583E9
459,4.9176985181650347E8,128,2.0110460616464755E8,937,9.074134222692726E9
464,4.948700904188691E8,129,1.9890432018364602E8,945,9.116925583032877E9
468,4.979656602494866E8,132,2.0031771645637548E8,953,9.159428310033762E9
468,5.010240338301214E8,132,2.017037181288724E8,953,9.201605953353643E9
475,5.041629926762305E8,131,1.995102147728612E8,961,9.243598787960487E9
482,5.073135304392921E8,132,2.0092516977773768E8,968,9.285316022639774E9
482,5.1040213266497743E8,132,2.0234145196575934E8,968,9.326711900795015E9
486,5.135389267213808E8,131,2.001815146622002E8,979,9.367953767755953E9
486,5.166415953179794E8,131,2.0161010187993675E8,979,9.408844892227385E9
492,5.1981603672862077E8,132,2.0306497103692204E8,988,9.449595727424158E9
494,5.229600188663665E8,134,2.0454158089207536E8,1000,9.490138353262026E9
499,5.2300375861321163E8,133,2.0242424082526612E8,1010,9.530439293636854E9
503,5.261871966078809E8,134,2.0038417670262352E8,1020,9.57056631173126E9
507,5.2938855211586285E8,138,2.0191902413757256E8,1028,9.6104785597064E9
511,5.3260078273115045E8,138,1.9984159602801535E8,1039,9.650181344866364E9
519,5.3586790444316584E8,140,2.0136582360415474E8,1046,9.689643459092426E9
522,5.390987953117193E8,140,2.028724668593395E8,1060,9.728978537602875E9
527,5.423624154832758E8,140,2.0438415618903455E8,1072,9.76818517889609E9
533,5.456493275092521E8,140,2.0589913628494942E8,1083,9.80721178794613E9
538,5.489374171301138E8,143,2.0745487377407733E8,1092,9.846015071301466E9
542,5.522281001427678E8,143,2.0897305384346375E8,1105,9.884680460838346E9
552,5.555973255269191E8,143,2.1049320583714366E8,1113,9.923129106744028E9
558,5.589423138337845E8,146,2.1205310536540467E8,1121,9.961414565802197E9
564,5.623053305498844E8,147,2.1002088638141826E8,1131,9.999554910521734E9
569,5.65671765950867E8,147,2.1154542457891655E8,1144,1.0037572695144659E10
571,5.690240293697871E8,149,2.1310282191671327E8,1158,1.0075452786470963E10
579,5.724557537757295E8,149,2.1463615191630793E8,1168,1.0113174307850372E10
