# date:Thu Dec 02 19:45:41 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 10 + 0.01*t
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
186,1.821225744761525E8,52,1.1244027524783714E8,457,3.8129531279958305E9
187,1.815636616632448E8,49,1.0687937986489712E8,462,3.823036197327881E9
188,1.8405950638447356E8,48,9.958618129863073E7,464,3.8339218568882327E9
191,1.8271724403303078E8,44,8.905836589486253E7,468,3.8247610594214406E9
191,1.824761884157791E8,42,8.68035841411331E7,474,3.8471657184223228E9
193,1.841229355252639E8,41,8.323571916573608E7,477,3.8238509285508156E9
194,1.8610481284190762E8,40,8.237060647736222E7,481,3.8482820180670605E9
197,1.892267818345258E8,39,8.046119828801896E7,485,3.8525918984044237E9
199,1.875720636587218E8,38,7.333432620548898E7,485,3.861485782197626E9
204,1.9077203450231403E8,37,7.337143126266858E7,489,3.882831850258418E9
200,1.9260444871236E8,37,7.414146743660657E7,479,3.88409455024937E9
201,1.9223152293404526E8,37,7.286766933973831E7,483,3.891271671738992E9
202,1.913491741717392E8,36,7.012564499691689E7,485,3.891054896092706E9
205,1.939932289265692E8,35,7.052494688547547E7,487,3.87674865039226E9
203,1.964172268402583E8,33,6.5595281799455814E7,492,3.896769841392749E9
204,1.975734093653839E8,30,5.3746043189787224E7,497,3.9367947146367383E9
206,1.994890680294236E8,29,5.0180016860367246E7,503,3.9643198380597167E9
206,2.0059229469862562E8,28,5.053442815420882E7,502,3.9188804754258475E9
206,1.9896391735757548E8,28,5.0817663082243405E7,506,3.9295914285539794E9
212,2.0212554060165185E8,29,5.1233112249755315E7,510,3.928545907473605E9
210,2.0112207234883535E8,26,4.473057510892207E7,520,3.9604036582090187E9
215,2.0422920781891334E8,26,4.5110101690360256E7,526,4.0179446131288004E9
217,2.0434139530499387E8,26,4.2090874804351E7,534,4.0337711735329347E9
221,2.0606545398337445E8,24,3.538308063362836E7,536,3.991599625660188E9
224,2.074310692502314E8,24,3.57562589323517E7,541,3.954754781170643E9
222,2.1043804684722665E8,21,3.3391316531082418E7,529,3.934878015095346E9
227,2.117611137527743E8,18,2.740902309382638E7,534,3.9896360849149165E9
224,2.0969659209957704E8,16,2.7371549086513873E7,529,4.0177103306729608E9
226,2.096616676296467E8,13,2.118125647148882E7,536,4.050768255251357E9
231,2.1260362311664233E8,12,1.7310300976040516E7,537,4.0530802141861515E9
230,2.1564808277533522E8,11,1.7369518679022387E7,526,4.035919399753896E9
232,2.184510797608648E8,11,1.7539155028483737E7,532,4.0015376984354577E9
233,2.2142234677162966E8,9,1.0645066808888072E7,536,3.9635712582938704E9
235,2.235401225323597E8,9,1.0821595331490621E7,536,3.954052823370382E9
234,2.2173335672636515E8,9,1.0821309518893082E7,547,3.9962685533313365E9
236,2.2289459044010052E8,9,1.0977787927201353E7,549,3.955319511281721E9
240,2.2018464656085303E8,8,1.1021835643336864E7,551,3.926275565764179E9
241,2.2298344563860452E8,8,1.1174122641435962E7,555,3.8831511502075286E9
239,2.217701815646543E8,7,8435392.482816087,547,3.888543696852114E9
241,2.1968227268260658E8,7,8574393.933958627,552,3.887623719835739E9
244,2.216729401273977E8,7,8721134.718132919,557,3.923398538002087E9
249,2.191808914736755E8,7,8869905.928032136,559,3.9615099784722958E9
248,2.1325074657048467E8,4,4867531.359084193,563,3.9519151487670903E9
246,2.1180386523015565E8,3,2327757.202464625,572,3.9820719016848564E9
247,2.1447144881683683E8,4,2432864.224433504,578,3.976756715518948E9
253,2.1679481541055477E8,5,2543510.9916722584,572,3.902308249804608E9
254,2.1725576766234082E8,5,2644888.25318273,583,3.9187186548657045E9
252,2.1885323847074765E8,4,2673582.665491378,577,3.894242353478731E9
257,2.2171343366294113E8,3,1759098.587702889,581,3.9141774233387465E9
264,2.1994638260474193E8,3,1803279.8543674408,584,3.9124595556115394E9
268,2.2262907136723775E8,3,1849307.5316948637,589,3.8827952343991814E9
269,2.1895062455425364E8,3,1896810.5456641149,592,3.8859728170985928E9
266,2.2053631526970014E8,3,1945841.0278048487,580,3.8593695128994846E9
269,2.2325373426365188E8,3,1996440.3362615597,586,3.8474559151240697E9
275,2.202033852579294E8,3,2048639.0038395985,587,3.891486444950517E9
280,2.223163197852057E8,3,2102456.8395418553,587,3.9059852712704425E9
281,2.2504689999747065E8,3,2157903.166758001,589,3.847457577746693E9
285,2.2800307976761934E8,3,2214977.1810908653,594,3.8671350767127457E9
286,2.3073995113954255E8,3,2273668.4107797104,604,3.859472762042957E9
290,2.3196682558391455E8,3,2333957.2628582898,608,3.8062589985729337E9
290,2.2954213940854573E8,3,2395815.6385868713,616,3.8458419832134867E9
292,2.2785521432758695E8,2,2189670.165404334,616,3.836464791100947E9
290,2.27976141244578E8,2,2226352.4422363983,603,3.7905013358549633E9
288,2.265727252239254E8,2,2263149.2868225686,611,3.786942771708626E9
287,2.2747320827155912E8,2,2300063.1647580126,616,3.799894299292075E9
294,2.2779237518255672E8,2,2337096.2245912366,618,3.7899351771225777E9
299,2.3031019489046437E8,2,2374250.2795098037,620,3.8052560642634444E9
302,2.3289152971357802E8,2,2411526.7911731927,626,3.8020198979494686E9
304,2.3493794470050734E8,2,2448926.8556471034,634,3.8425113299572077E9
307,2.3794225758728793E8,2,2486451.1913906494,638,3.8311026601530533E9
311,2.3826355162335378E8,2,2524100.129244871,638,3.8161318961024585E9
311,2.396687136918146E8,2,2561873.6043678867,644,3.840275958065375E9
319,2.4012271242414695E8,2,2599771.1500590304,644,3.8236017961372037E9
322,2.355158922430863E8,2,2637791.89341131,647,3.798471680760031E9
324,2.3285156896831828E8,2,2675934.5527287074,652,3.8289934348914666E9
329,2.2952401941384864E8,1,2455548.80252233,659,3.870290636068909E9
325,2.316066526628156E8,1,2478484.38295077,648,3.8478524045498657E9
320,2.331474764455537E8,1,2501051.48640171,643,3.8225681615392075E9
321,2.328078182799761E8,1,2523251.670274594,650,3.769525251125994E9
321,2.3170304148201662E8,1,2545086.7208149624,659,3.806762653046072E9
329,2.3179430766103467E8,1,2566558.639788726,663,3.791853803754529E9
335,2.3501611241015282E8,1,2587669.6315665846,667,3.794624734956114E9
340,2.3496450696522146E8,1,2608422.0906196344,669,3.741262745746081E9
343,2.37379785641981E8,1,2628818.589425995,673,3.764870747861949E9
344,2.3814439331328204E8,1,2648861.866787173,676,3.748935475373148E9
350,2.3774102534161896E8,1,2668554.8165518194,678,3.729212639379088E9
347,2.4063702696775377E8,1,2687900.4767436553,673,3.767798645483439E9
353,2.4366838993083602E8,1,2706902.0190894366,677,3.770353706037413E9
356,2.4423895585534576E8,1,2725562.7389421584,688,3.757816809116203E9
363,2.478392697050794E8,1,2743886.0455939304,695,3.7640268400880895E9
367,2.4542876731903997E8,1,2761875.4529724284,700,3.782473251508233E9
369,2.4486738757565647E8,1,2779534.5707142553,707,3.74465184778458E9
363,2.4293060006131294E8,1,2796867.0956080854,692,3.6587113761771426E9
368,2.4512406807325235E8,1,2813876.803400077,693,3.6683326731615534E9
373,2.487925910567381E8,1,2830567.540953679,697,3.654857309913063E9
377,2.4803800139429322E8,1,2846943.2187556583,695,3.596366589376917E9
385,2.5179250374596724E8,1,2863007.803759946,696,3.5841393412967086E9
389,2.5493856390435848E8,1,2878765.3125606887,703,3.5828947550329094E9
392,2.5490679207661486E8,1,2894219.80488574,715,3.622378575925965E9
393,2.5714874513006333E8,1,2909375.377401715,717,3.5555251544109044E9
397,2.5890957865687442E8,0,0.0,727,3.594278199774858E9
392,2.5949950498133397E8,0,0.0,713,3.5788542563772054E9
397,2.6326486236361152E8,0,0.0,715,3.5850766984064794E9
402,2.668025498980587E8,0,0.0,720,3.6193751793552346E9
