# date:Thu Dec 02 19:49:16 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 10 + 0.01*t
# Temp std [°C]:2.5
# offspringRate [%]:3.5
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
177,1.9140732686447674E8,51,1.0804252320312904E8,448,3.7223376787080336E9
184,1.943185359417936E8,52,1.0241665350405248E8,460,3.762429146619878E9
188,1.972130928892537E8,51,9.596287887979116E7,468,3.7566406803693757E9
186,1.976577148249527E8,46,9.026522249796472E7,465,3.8042862596319714E9
190,1.9774854070779088E8,44,8.507276922334303E7,477,3.831225247877873E9
185,1.9658303701386765E8,40,7.764655437420678E7,467,3.8570154695588403E9
184,1.9873488118737993E8,37,7.463708787859719E7,461,3.8530401758902392E9
180,1.9836579606135544E8,34,6.836645433901265E7,456,3.899576781266925E9
180,2.0071062909191668E8,31,6.1683124048149385E7,472,3.918708538632671E9
176,1.972243338796347E8,28,5.3086472766823374E7,466,3.969935981506525E9
171,1.970430211592332E8,28,5.378303078749172E7,456,3.96831044046051E9
174,1.9865341329040912E8,27,4.987222809475753E7,468,3.984232947979435E9
173,2.0076125174229643E8,27,5.0526062758474045E7,463,4.011575363764296E9
177,2.034477904028035E8,29,4.415771529143135E7,471,4.032158923196809E9
183,2.0605956410223213E8,30,4.4829135279044054E7,480,4.0017478871575847E9
187,2.0543361732127124E8,30,4.551690856324537E7,492,4.0379590416277523E9
187,2.0812561285971016E8,29,4.466788780031734E7,487,4.055209478142367E9
184,2.0999949493143782E8,25,4.2552544284880355E7,479,4.044755842521257E9
188,2.1262863645510548E8,26,4.3132842219866194E7,492,4.044055157304919E9
186,2.133834450592851E8,26,4.370659295977688E7,489,4.072169116052614E9
184,2.125492226599132E8,26,4.42837651215162E7,484,4.0702259079477396E9
189,2.1415295083476388E8,25,3.853436920206451E7,497,4.1152162758341575E9
197,2.1643532565664962E8,24,3.3547514907437935E7,508,4.158148515684788E9
203,2.121417545689361E8,23,3.0523890083823495E7,515,4.1687109090952473E9
212,2.13053617036101E8,23,2.8287510870294884E7,523,4.179115339877487E9
214,2.1266342978754604E8,21,2.856057057607979E7,532,4.1633207276497803E9
216,2.1110000394719243E8,20,2.8996041143750012E7,542,4.1172643446635966E9
220,2.103645229085493E8,19,2.9425175792362943E7,557,4.112769055580398E9
223,2.098923291893848E8,17,2.7132894495452106E7,572,4.092271968498173E9
221,2.102799535256086E8,17,2.746477565085644E7,566,4.1429069748302526E9
227,2.0916592311840442E8,16,2.172808379020898E7,574,4.1466605868651094E9
224,2.0700887258308187E8,15,2.1012528598286565E7,567,4.1428238647943974E9
223,2.0940496581063515E8,13,1.5119443594903462E7,561,4.1387462461843414E9
220,2.0668114571698657E8,13,1.5335170999472274E7,551,4.1535413753533435E9
218,2.0648891428928795E8,13,1.555492468569204E7,544,4.1552526531821556E9
214,2.0170137360438028E8,11,1.5334601799570644E7,538,4.163318889433325E9
223,2.0413136458819076E8,10,1.5479530877539938E7,550,4.18243478417454E9
222,2.0651995629594702E8,10,1.5665500490920685E7,540,4.1648912567505226E9
218,2.0532193313619852E8,10,1.5852361149335474E7,533,4.179570945319131E9
215,2.0356470088690668E8,9,1.5944521781012828E7,526,4.1793418498907633E9
213,2.0544885148375106E8,9,1.613545274793776E7,519,4.155108274225367E9
212,2.0764639693619308E8,8,1.3131778876658648E7,510,4.091777901521539E9
215,2.0687702754149327E8,8,1.3311574616680367E7,519,4.0909804857873063E9
212,2.0414188276924124E8,7,1.091790010342592E7,512,4.0366018207384877E9
219,2.0324460864540964E8,7,1.1095347764906831E7,522,3.962220771456932E9
217,2.0452757613123262E8,7,1.127432488179796E7,515,3.931961712186283E9
