# date:Sat Dec 04 10:41:23 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:10.0
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
163,1.78790037825453E8,53,1.2879384699299353E8,467,3.7254241281805487E9
163,1.7846114375822705E8,52,1.2266750042521904E8,468,3.724302678200608E9
163,1.7728773285112625E8,50,1.0976196003861289E8,473,3.7262060124631658E9
164,1.7636026499533197E8,49,1.079044419860559E8,479,3.741509865838895E9
163,1.7189081348214582E8,49,1.0528871071168244E8,482,3.7305811622807097E9
163,1.7118467430597463E8,49,9.812604600580132E7,484,3.6500855871712418E9
164,1.695012324661164E8,48,9.235780553866714E7,489,3.6643996987971706E9
165,1.712000498686417E8,46,8.645594092345883E7,492,3.5876137758802404E9
167,1.7288322230074564E8,43,8.08926990272547E7,502,3.612132479513446E9
170,1.7130027853099844E8,43,7.802467720955253E7,504,3.6060202982908406E9
169,1.701349352898607E8,43,7.521756647802019E7,511,3.635927615131854E9
171,1.7198598978345063E8,42,7.259611065421468E7,518,3.63311238675881E9
170,1.6945979107695886E8,42,6.939767290763889E7,518,3.6219261981311026E9
173,1.6803702453312156E8,42,6.731529148036411E7,515,3.585471346670372E9
172,1.6555635596851298E8,35,5.175693080307353E7,520,3.5371630942248287E9
175,1.6713629507734826E8,29,4.60285937916989E7,523,3.548404948854949E9
179,1.6836944052522758E8,29,4.420385799659592E7,521,3.535234125704645E9
180,1.6781820635835278E8,29,4.108034628742671E7,529,3.5540934786319823E9
182,1.6879465357793066E8,27,4.134804619681384E7,533,3.53921425143133E9
183,1.703155005952832E8,28,4.174182934549274E7,538,3.5153921851828947E9
184,1.7101113911954975E8,29,4.207746013585498E7,539,3.486058657261887E9
188,1.727776467198041E8,28,3.901670140147069E7,540,3.4281242002064805E9
188,1.7154937650655887E8,26,3.79303640719679E7,548,3.4156252788617806E9
194,1.7202385583627868E8,26,3.834346150826686E7,545,3.418880730750523E9
198,1.740392088625946E8,25,3.541356466116983E7,547,3.4188340455170765E9
198,1.7158647405268842E8,24,3.5629854454488195E7,555,3.4513336997887683E9
200,1.722064138246608E8,23,2.9181170943583056E7,554,3.4399907633739347E9
198,1.714863259673934E8,24,2.9642243465241123E7,554,3.419743038098041E9
199,1.7144089815509635E8,26,3.0092519902940743E7,558,3.405113443103842E9
198,1.715802432555168E8,23,2.5152926278219294E7,563,3.3864451906518016E9
