Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
225,2.4060867211690933E8,46,9.50903368011124E7,421,3.6281578851079063E9
225,2.4421584141247055E8,46,9.639336321302631E7,421,3.6954519976157565E9
225,2.478294589907443E8,45,9.431160677502678E7,421,3.763048861115747E9
225,2.4786539798352465E8,45,9.432425600698923E7,419,3.7244547717993994E9
225,2.4790116537928516E8,45,9.433687233506072E7,419,3.7251257547801266E9
225,2.5151521054458877E8,45,9.559854890695927E7,419,3.792710075138154E9
225,2.551368711600027E8,45,9.684670046513568E7,419,3.860598699347551E9
225,2.587534446782507E8,45,9.807989539783375E7,419,3.9286458023715663E9
225,2.6224992880427712E8,45,9.92576688688656E7,419,3.994710858844324E9
225,2.622857960959904E8,45,9.926957643243513E7,425,3.9954523100923147E9
225,2.658776002111798E8,45,1.0045597229745996E8,424,4.041724669706829E9
225,2.6591341801180646E8,45,1.0046770292356047E8,424,4.04240596586754E9
225,2.695037333334846E8,45,1.0163604075378059E8,424,4.11075018621242E9
225,2.730964819486611E8,45,1.0278964429384278E8,424,4.179256712692861E9
225,2.766794433321757E8,45,1.0392492114160205E8,424,4.2478271703041935E9
225,2.8025127690144414E8,45,1.0504170780572185E8,424,4.3164347340668545E9
225,2.81899165123076E8,45,1.0555183312572873E8,424,4.348215938721146E9
225,2.8193452104205006E8,45,1.0556273244651474E8,424,4.348900042239253E9
225,2.819697660614032E8,45,1.0557359625961648E8,424,4.349583846573546E9
225,2.855061131406812E8,45,1.0665760342739676E8,424,4.418216808646685E9
225,2.8904526103324306E8,45,1.0772654313417259E8,424,4.486928983356348E9
223,2.907991651776799E8,45,1.087768382581029E8,424,4.555602628796484E9
223,2.908338575393477E8,45,1.0878718031945845E8,424,4.556286782883804E9
223,2.9430102562141263E8,45,1.0981536236300473E8,424,4.62485486744001E9
223,2.943355498240854E8,45,1.098255170219876E8,424,4.625538370834777E9
223,2.9778733046386087E8,45,1.10834838152125E8,430,4.693146936621182E9
222,3.011720735208667E8,45,1.1182862479799034E8,430,4.761661912094698E9
222,3.012062196157127E8,45,1.1183840263992581E8,430,4.762344305834681E9
222,3.046189815162255E8,45,1.1280984777581075E8,430,4.830718419700007E9
221,3.062574230501519E8,45,1.1351142309968267E8,430,4.880784768608773E9
221,3.062911092684106E8,45,1.1352087032452387E8,430,4.881464995141213E9
221,3.089788742467773E8,45,1.1427081415588713E8,430,4.935817181892261E9
223,3.123642129089635E8,45,1.1519745408645113E8,435,5.003934624616973E9
223,3.1570197513814634E8,45,1.1610622195057496E8,434,5.050843368374261E9
223,3.157351005342508E8,45,1.1611516212492554E8,434,5.051517267880274E9
224,3.1906230243585736E8,46,1.1701607905059865E8,439,5.119163956927728E9
224,3.223692457134001E8,46,1.178902867597307E8,439,5.186633858442459E9
224,3.256543618823687E8,46,1.187418213635933E8,439,5.253943201037902E9
224,3.289158059313344E8,46,1.1957580287552415E8,439,5.32105955802933E9
224,3.294780918200066E8,46,1.1971826351341759E8,439,5.332689578810288E9
224,3.309386044615813E8,46,1.2008695580610424E8,439,5.362994886409215E9
224,3.34102200647268E8,46,1.2087778983119802E8,439,5.428671562448615E9
224,3.341340993815186E8,46,1.2088570366166566E8,439,5.429335487241662E9
226,3.373410810719765E8,47,1.2168209361469129E8,443,5.495788159518348E9
224,3.384402763821926E8,47,1.2245021024387747E8,443,5.562048155177636E9
