# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
217,2.5511310510875702E8,49,9.866789222694068E7,515,4.2384856219146776E9
219,2.558601773460009E8,44,8.787995080907081E7,521,4.244219726750328E9
222,2.55387096455476E8,43,8.836499092025383E7,524,4.212841615060506E9
223,2.566492118047908E8,44,8.914695674996527E7,524,4.1717371593865685E9
224,2.5425705572855136E8,42,8.655767260689811E7,528,4.1728281756075683E9
228,2.542597336340423E8,40,8.080670575436464E7,530,4.152882512613065E9
232,2.5672264974949557E8,41,8.157462737664552E7,538,4.168423850684326E9
235,2.5761769379848948E8,39,7.35478579674874E7,534,4.1000454740761695E9
237,2.567110037657163E8,38,7.110921407845214E7,538,4.1211696508698964E9
239,2.5642275863371104E8,38,7.18068233051654E7,543,4.1056555120807056E9
239,2.5773897092991915E8,38,7.251481842162675E7,547,4.092847578362443E9
241,2.5777934888757437E8,39,7.322739577334489E7,554,4.107771238312672E9
248,2.5722479154760656E8,38,7.279439117706965E7,551,4.0222687885362473E9
256,2.5969708859331554E8,38,7.314445135934041E7,554,4.0058914443669276E9
258,2.601929148933547E8,37,7.0230102592686E7,558,3.9910406282164836E9
259,2.5985172763962698E8,37,7.082774304445064E7,565,3.9388413132320848E9
258,2.6111163398915565E8,38,6.876218537872362E7,573,3.9138581253080196E9
263,2.600912908956861E8,37,6.881695845384245E7,574,3.906706821723917E9
265,2.5784592548302987E8,37,6.940728217525607E7,567,3.7519011987812033E9
269,2.6047041826279896E8,38,7.007645565626973E7,568,3.723668032429015E9
269,2.5683401896437016E8,36,6.869909168807594E7,576,3.719429934744352E9
270,2.578253787682929E8,34,6.600698714843776E7,581,3.737209454504119E9
275,2.6024664503448972E8,33,6.301789677414492E7,583,3.705402263357678E9
276,2.585771094043461E8,34,6.246541690549788E7,588,3.6839482619537225E9
279,2.6118658471738422E8,35,6.238026428851333E7,591,3.6281321633183484E9
284,2.596659312995659E8,33,5.935788483085217E7,589,3.5166406337530036E9
286,2.595111512579185E8,31,5.645708184281435E7,597,3.5223386461459093E9
284,2.6161961122295478E8,31,5.704256493080742E7,592,3.5566073807345524E9
292,2.6453839447013608E8,30,5.759424505186305E7,594,3.575874022589429E9
296,2.6435962081483078E8,29,5.532291020933637E7,602,3.5420902328162003E9
294,2.5995949317925784E8,29,5.248171331248954E7,612,3.5557920836985064E9
296,2.620399946642649E8,30,5.081255454002306E7,617,3.565207914599595E9
291,2.6002340168529677E8,28,4.86868890397363E7,604,3.4833435921075644E9
295,2.5448772172569868E8,28,4.9097700570352994E7,605,3.4644873122575107E9
296,2.5660485719760936E8,29,4.959448471255603E7,614,3.46743101950243E9
296,2.5823924728530318E8,28,4.759499351990334E7,617,3.45022190876783E9
292,2.583628345099939E8,26,4.224216404705954E7,608,3.4068801570228877E9
294,2.6080872565910214E8,26,4.2592450000585236E7,615,3.4091759367952137E9
