# date:Sat Dec 04 10:46:34 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
196,2.1620436551674554E8,48,9.366680895455836E7,431,3.5114538393112893E9
196,2.1833847833777392E8,46,8.793144920848732E7,425,3.4682138702700133E9
194,2.1833612894595182E8,42,7.644486232827935E7,420,3.4788989550776196E9
190,2.1120409433781767E8,40,7.371126574774715E7,417,3.491977236393016E9
189,2.1088013559734997E8,39,7.080595226220936E7,410,3.4387825131713686E9
190,2.104576146939217E8,37,6.306226704998973E7,410,3.380414737372894E9
194,2.1273321413725388E8,37,6.3845406284595475E7,415,3.403189766434366E9
192,2.1261848303150758E8,35,6.033271726505823E7,408,3.3668664160496483E9
198,2.1454110907658422E8,32,5.919124410645074E7,410,3.3283993999057355E9
197,2.1479404755706033E8,31,5.7069295940618515E7,405,3.326010048290004E9
196,2.1237898391175297E8,31,5.76863476595348E7,408,3.3004567504064436E9
195,2.136419663919E8,28,5.1556644859528184E7,404,3.2805089777475147E9
193,2.1115047987003815E8,30,5.24357600518107E7,407,3.3253237486279116E9
193,2.138637407015879E8,28,4.937819442661414E7,402,3.3259762058664646E9
193,2.1376405334894025E8,29,4.9734165974747926E7,406,3.3269286805401955E9
191,2.1436331577158433E8,26,4.566385990941109E7,404,3.3382104558385878E9
189,2.1528221854379734E8,24,4.387090445694856E7,401,3.3384760469614687E9
188,2.154646575842458E8,23,4.0886688824670196E7,397,3.3108750362732673E9
186,2.15201894377125E8,22,3.7980530585624576E7,392,3.3160522545713506E9
184,2.1306849445525965E8,21,3.760625952037222E7,386,3.3118270698926883E9
184,2.128286083541862E8,20,3.796713714228908E7,394,3.3370674650397134E9
180,2.1324712896605894E8,20,3.848998411517717E7,387,3.3218835492378016E9
177,2.1095705091675833E8,19,3.639408368690065E7,379,3.272136628872224E9
176,2.1062428427516213E8,18,3.434790741702619E7,375,3.2719452648152146E9
183,2.127084741210812E8,18,3.4755547058733605E7,374,3.255708253009722E9
179,2.1218929877033964E8,16,3.3240956622173075E7,365,3.2593969467870836E9
175,2.0748399229432842E8,15,3.0550711391297806E7,364,3.263547443942203E9
176,2.0238252504924032E8,12,2.393377421501704E7,362,3.171551468052791E9
174,2.0368302466094145E8,12,2.4228084326875344E7,357,3.1264643615529294E9
174,2.0101873855035427E8,12,2.205186211209726E7,359,3.122295836318544E9
177,2.0276131927072963E8,11,1.9032909427839585E7,364,3.129227360170054E9
176,2.0397051633837023E8,11,1.9293653785802323E7,361,3.102392404195798E9
180,2.0156613895645308E8,10,1.8998011741541047E7,363,3.09710366024018E9
179,2.0071303511553603E8,10,1.9199774114916693E7,369,3.0850672734209824E9
181,1.9994132961415592E8,10,1.950936615718295E7,370,3.1092771811135983E9
181,2.021997037733104E8,10,1.977184868747049E7,367,3.132231798122617E9
177,2.0082180532151747E8,10,1.9947069260386746E7,363,3.1132232378491683E9
174,1.9474189103210768E8,9,1.652918136612936E7,356,3.0756423427725635E9
172,1.936783854072052E8,9,1.680804907873004E7,356,3.014862977528038E9
170,1.9188706205190754E8,8,1.5015758989947995E7,354,2.975867844727946E9
169,1.907538372678446E8,8,1.508352739857847E7,357,2.941989124321695E9
170,1.9086515799690813E8,8,1.5234961709741933E7,364,2.943394512853E9
170,1.8723477766918892E8,7,1.4369413087495958E7,369,2.919898287142094E9
172,1.890478317731837E8,7,1.4483051449678054E7,373,2.9063179707962427E9
