# date:Sat Dec 04 10:52:09 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:5.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
218,2.2128709885685152E8,53,1.1773661941465384E8,457,3.835245812340918E9
230,2.2235764682189274E8,53,1.0855501525798672E8,466,3.765162850072699E9
241,2.2080718115440863E8,47,8.722537299716872E7,484,3.749051383352346E9
253,2.230980179970355E8,47,8.159300489347124E7,501,3.733702471504794E9
259,2.2138020257903498E8,47,7.68762701248298E7,520,3.6911689037284794E9
256,2.219791856653033E8,46,7.551889043065761E7,517,3.7252098121934342E9
252,2.22592830030412E8,44,7.444433426210003E7,508,3.6561091892650127E9
249,2.2277842388464555E8,44,7.511826899256413E7,501,3.606554866469045E9
245,2.194007621444434E8,42,7.203936158306426E7,500,3.6338406723625307E9
243,2.2084165453461486E8,40,6.953397314540571E7,486,3.6276104241620846E9
236,2.1766032894819373E8,38,6.5266023282483205E7,477,3.6186554407829013E9
233,2.1861997978476605E8,36,6.436802469641798E7,467,3.5797516762567077E9
231,2.1851258818542802E8,34,5.861214304721101E7,459,3.548972997290218E9
225,2.147388671737128E8,34,5.9018384330425E7,452,3.5320942278281527E9
221,2.1474870656746554E8,33,5.584799285941883E7,441,3.4775399233293266E9
216,2.1157844111904344E8,33,5.6205989613875315E7,435,3.4294023047414646E9
228,2.1303598930189767E8,32,5.3039697535150506E7,448,3.4597490962081213E9
239,2.1292719256859404E8,34,5.312124937820091E7,461,3.4605139508231936E9
245,2.1413973297230956E8,35,4.87721900324007E7,480,3.3998797069346724E9
257,2.14893947499692E8,34,4.835680267236682E7,494,3.3871387965724635E9
271,2.1712699839402914E8,37,4.872701662986929E7,512,3.3983090431736555E9
280,2.1240113372496152E8,40,4.914001454714071E7,526,3.374330392527807E9
277,2.1126662397188014E8,39,4.952204922408183E7,519,3.388940244874407E9
286,2.1146751861370715E8,40,3.972156667222122E7,533,3.3314302205102563E9
297,2.1093158013023874E8,39,3.834982426850264E7,548,3.2748586404011774E9
295,2.1080232798563457E8,39,3.8679886772127E7,540,3.1823501472611585E9
300,2.0914342424668893E8,42,3.90160566732773E7,567,3.1291046073059664E9
294,2.1013077007467932E8,41,3.9445264044915624E7,562,3.1565708757289395E9
291,2.0918940468233418E8,40,3.843639266466275E7,557,3.1141066205687637E9
303,2.0996831967354003E8,38,3.838920165207217E7,580,3.0922678183801484E9
299,2.103385445617535E8,36,3.523194898100557E7,572,3.0748776623618073E9
306,2.1126890917697558E8,36,3.551934201259648E7,596,3.0486618705753403E9
304,2.1380327195947033E8,36,3.598865741740161E7,588,3.0337513149110255E9
304,2.1608280146849492E8,35,3.62767637948112E7,582,3.005168131998777E9
324,2.1798283530888802E8,36,3.388351431578715E7,604,3.0240197914392304E9
317,2.1554254446403933E8,35,3.42701374501782E7,599,3.050970539952355E9
315,2.149810982782643E8,34,3.461428126250961E7,587,3.0226423817948074E9
310,2.1627320951422372E8,32,3.448537601626601E7,572,2.9604221401543765E9
309,2.1810369973981535E8,31,3.472473641297914E7,566,2.9236490880066624E9
323,2.2023530123547447E8,31,3.1999665791392986E7,585,2.9227368531592536E9
336,2.2071186869597104E8,32,3.2416068854662307E7,610,2.9289908282539277E9
351,2.1930257310033953E8,32,2.780685986281172E7,632,2.956508177561258E9
349,2.1881036710966182E8,31,2.794388735412217E7,623,2.9694024159385886E9
357,2.147223045759267E8,32,2.558338856298452E7,651,2.9638165681331396E9
351,2.1459135740161866E8,31,2.6065763817685895E7,644,2.9689602159617267E9
370,2.1689809918090644E8,31,2.317677731616693E7,664,2.96145727946883E9
366,2.1824512326422432E8,29,2.325363516594807E7,651,2.961066721483989E9
356,2.1745123272047123E8,27,2.3495398947322965E7,641,2.959968525206687E9
353,2.1674366817465186E8,25,2.358420603208583E7,631,2.9435147970185556E9
348,2.1336967934829107E8,25,2.3891730532127485E7,624,2.953012922313409E9
360,2.1578859339862067E8,26,2.0702100058779404E7,649,2.895574232552928E9
379,2.1849218395677918E8,26,2.087223284674581E7,670,2.9142219371321363E9
374,2.2117198733549085E8,25,2.022170517950087E7,665,2.9072826210820117E9
371,2.206609197756535E8,23,2.0484910723539516E7,657,2.9306230853034673E9
370,2.2234647368203214E8,22,2.045357131733113E7,651,2.9448529608520613E9
367,2.2055466869214392E8,22,2.0721014457424134E7,639,2.929823750300901E9
365,2.2250033355345207E8,22,2.1055679429496273E7,633,2.9503013865583053E9
363,2.2594967005112815E8,22,2.1513842688724674E7,629,2.9624989921530166E9
377,2.2532933656334028E8,21,1.9896153561468523E7,651,2.9281244403877735E9
371,2.261880933310804E8,21,2.0176634923533812E7,644,2.9511775073943563E9
384,2.2808422489025378E8,22,2.0557188760700315E7,676,2.982715700426944E9
403,2.2679297611647826E8,22,1.683883539299249E7,692,2.944563136667112E9
400,2.2895527560949793E8,22,1.719099143085273E7,688,2.970194873782118E9
396,2.2976988254174483E8,22,1.7584574968429152E7,675,2.914844294487342E9
394,2.3235575314561322E8,21,1.687566996636274E7,667,2.9323394481830707E9
387,2.2830619224089912E8,21,1.7239757348600157E7,661,2.9390093106484833E9
400,2.309391902068715E8,21,1.5357911069466697E7,688,2.9219135479481077E9
398,2.3466020531966045E8,21,1.573058222204121E7,681,2.960939471789415E9
412,2.3411368377393296E8,24,1.5946340041518921E7,702,2.988027875554558E9
408,2.3463954764317775E8,23,1.6201200580685657E7,695,2.9872114475459146E9
417,2.3515090829991058E8,19,1.259205628006289E7,725,2.99613754656364E9
431,2.3080421469303077E8,18,1.2837240588191113E7,754,3.0152301919648504E9
428,2.325666423075489E8,17,1.3036836882535148E7,740,3.035393494880152E9
446,2.3408882089026022E8,18,1.3322660453498345E7,773,3.0591930653956895E9
443,2.3780349551231003E8,18,1.367458011676614E7,764,3.0749690400949354E9
441,2.385290488240769E8,18,1.396631327791098E7,757,3.0682322848647494E9
434,2.3846341763045487E8,17,1.4151466213467937E7,749,3.061823390245612E9
449,2.3982936068476176E8,15,1.417747146894841E7,780,3.0603819494749055E9
446,2.3888278475329676E8,14,1.3440422440195173E7,771,3.0471106052504253E9
444,2.3797006981431556E8,13,1.355615561110088E7,758,3.026561427453805E9
437,2.368090522042844E8,11,1.339282770328331E7,753,3.022506815040668E9
433,2.3729959159201813E8,11,1.3653590054330073E7,746,3.000046331725195E9
431,2.3947124214062926E8,11,1.3813726988862053E7,734,2.919710121656054E9
425,2.407715736096226E8,11,1.4026252767715605E7,729,2.9342583069081483E9
442,2.4043617959201425E8,11,1.4189959013390185E7,759,2.9186612120973663E9
441,2.451923373904585E8,11,1.4504048380783167E7,751,2.956361617464241E9
460,2.4739515557490584E8,12,1.484301825248842E7,771,2.9662904218245573E9
452,2.459880124338074E8,10,1.0908337120632382E7,765,2.980615855155873E9
469,2.470842228719353E8,8,1.0210406358736763E7,800,2.972328012294155E9
465,2.4955622831113583E8,7,9753165.109854277,792,2.9807575194795647E9
484,2.4965450180452296E8,7,9934297.07744893,821,2.9393889914505563E9
499,2.4666222668155682E8,6,8965274.99985296,847,2.9488386273822937E9
493,2.483321598500998E8,6,9067018.69670908,839,2.9591740425386934E9
489,2.5013832946108794E8,6,9147100.975909438,831,2.947521909327743E9
478,2.473683347293865E8,6,9278457.357362526,818,2.908893340048851E9
475,2.4824405745180798E8,6,9351818.582931824,806,2.925987540651124E9
473,2.4676707850032586E8,6,9412476.393873606,791,2.9096023126281385E9
466,2.485548539770728E8,6,9490624.15457423,783,2.9241391734058905E9
487,2.4393771126594332E8,6,9576399.425175138,807,2.892336304280741E9
501,2.460878892143634E8,6,9672563.074212896,847,2.9174006723712106E9
522,2.510151220778737E8,5,8173034.295419428,883,2.896247984023212E9
517,2.4989387582571352E8,5,8238272.9202712225,876,2.9164912705263495E9
514,2.4776256140519217E8,5,8305479.83116766,867,2.9395969628552475E9
534,2.474950626371869E8,5,8364471.341891156,902,2.933646636280298E9
528,2.520260242134652E8,4,7916684.663301076,886,2.9216416535205317E9
552,2.5172625129625034E8,4,7968880.225525226,920,2.9419653798536487E9
543,2.5262980214628148E8,3,6422213.441711587,905,2.921131891589183E9
558,2.522647717994613E8,3,6449740.2275648955,945,2.925152853366319E9
554,2.5520660774166578E8,3,6481007.621187794,940,2.9234727765453954E9
579,2.5907401199385443E8,3,6516448.497877976,971,2.9252574219379845E9
575,2.6323374980311638E8,3,6550056.235405496,962,2.9237840528954554E9
586,2.6004436220016146E8,2,6446236.116154192,1003,2.9038754704929957E9
584,2.6332163953801268E8,2,6472328.792713005,995,2.9226903406821976E9
577,2.6607929769567785E8,2,6495344.077564831,981,2.9510998035574403E9
567,2.666095210192887E8,2,6522361.2902952535,968,2.94557975335843E9
563,2.6851870383410454E8,1,2982129.1722715255,961,2.9576593557676134E9
584,2.7156685223813564E8,1,2998987.34511205,1003,2.9759083482768135E9
606,2.754931300204875E8,2,3034352.7444402357,1036,2.9597016347531753E9
642,2.729601447949905E8,2,3062806.510018567,1063,2.9663237892570496E9
631,2.7395505612911683E8,2,3087204.9923362434,1047,2.8964751342205734E9
625,2.738170892222227E8,2,3100954.62387123,1027,2.82165755325167E9
617,2.779988557686762E8,2,3129142.8378753923,1017,2.810812506479716E9
606,2.8063287105127895E8,2,3149298.758560838,1002,2.8190189436736035E9
600,2.8254000054079854E8,2,3170664.541806392,982,2.78721571072101E9
619,2.8453774671138245E8,2,3202971.960894777,1021,2.767246197909349E9
644,2.889203413028303E8,2,3230909.1371370703,1058,2.7841250908204794E9
668,2.909065497635183E8,2,3255864.3709548865,1096,2.7747987579218206E9
662,2.957531225479395E8,2,3283857.3609727556,1078,2.781971395393527E9
672,2.9060634945083106E8,2,3306447.0343865203,1137,2.7749165949853215E9
663,2.895822839565397E8,2,3337895.9349162187,1127,2.7821392133052936E9
655,2.885076566649065E8,2,3361863.5087970584,1117,2.7523460645858636E9
649,2.8892110796527696E8,2,3387911.2659165044,1102,2.7145380219073577E9
643,2.863413334947299E8,1,3251189.4008239326,1092,2.7306096883764825E9
667,2.901688848246279E8,1,3259885.4660803755,1140,2.749709081664962E9
662,2.94172301896051E8,0,2.384185791015625E-7,1119,2.764368692712117E9
682,2.975254109136305E8,0,2.384185791015625E-7,1165,2.698550579333812E9
673,3.022728140803639E8,0,2.384185791015625E-7,1144,2.7143483956648793E9
696,3.003952647116008E8,0,2.384185791015625E-7,1186,2.7185170721776457E9
691,3.043613709476112E8,0,2.384185791015625E-7,1174,2.748590663895353E9
683,3.045595833812377E8,0,2.384185791015625E-7,1160,2.7591354521596947E9
706,3.0790989223040223E8,0,2.384185791015625E-7,1208,2.770300728642344E9
730,3.076053684023323E8,0,2.384185791015625E-7,1250,2.772540468257409E9
724,3.12379012719712E8,0,2.384185791015625E-7,1235,2.7968114308411903E9
753,3.152059855647213E8,0,2.384185791015625E-7,1277,2.796855767127583E9
786,3.174116988087781E8,0,2.384185791015625E-7,1318,2.7984492901147966E9
815,3.192144729606418E8,0,2.384185791015625E-7,1366,2.7961651349430056E9
807,3.225625791336509E8,0,2.384185791015625E-7,1353,2.8244377821016383E9
848,3.270118720452074E8,0,2.384185791015625E-7,1387,2.8126866276384635E9
840,3.302344717542431E8,0,2.384185791015625E-7,1370,2.7671135594950385E9
827,3.329415389046369E8,0,2.384185791015625E-7,1349,2.7499114913713255E9
820,3.330181860479727E8,0,2.384185791015625E-7,1333,2.766420177627617E9
856,3.347056409634251E8,0,2.384185791015625E-7,1380,2.73355425660348E9
846,3.3873389105797845E8,0,2.384185791015625E-7,1365,2.7500642527964373E9
830,3.397000896030457E8,0,2.384185791015625E-7,1353,2.73432942660537E9
824,3.408458903755386E8,0,2.384185791015625E-7,1333,2.7519652665179114E9
813,3.4176480712417686E8,0,2.384185791015625E-7,1320,2.723512534600799E9
805,3.4076131982163286E8,0,2.384185791015625E-7,1304,2.685326379189932E9
797,3.474405551149609E8,0,2.384185791015625E-7,1277,2.6752865885892897E9
787,3.4943721210037535E8,0,2.384185791015625E-7,1261,2.702688675581494E9
775,3.535875414542241E8,0,2.384185791015625E-7,1247,2.7028000861440234E9
817,3.591686021333593E8,0,2.384185791015625E-7,1280,2.6975110017512207E9
848,3.647952571045304E8,0,2.384185791015625E-7,1335,2.7207053763522635E9
841,3.6901187758061326E8,0,2.384185791015625E-7,1319,2.732570255883206E9
834,3.7405677175441116E8,0,2.384185791015625E-7,1307,2.7478573829685116E9
868,3.778129281261648E8,0,2.384185791015625E-7,1351,2.766143260586312E9
854,3.835394562693625E8,0,2.384185791015625E-7,1328,2.7813159164465847E9
846,3.850897878973611E8,0,2.384185791015625E-7,1315,2.7783799695841637E9
842,3.914668259509648E8,0,2.384185791015625E-7,1298,2.7844186600511127E9
833,3.927223393731639E8,0,2.384185791015625E-7,1279,2.7482880822653303E9
863,3.978285366375877E8,0,2.384185791015625E-7,1328,2.774082816300889E9
855,3.989060910154912E8,0,2.384185791015625E-7,1311,2.72277760043004E9
891,4.0183727772280824E8,0,2.384185791015625E-7,1351,2.656484205919655E9
883,4.070297987464636E8,0,2.384185791015625E-7,1333,2.6735733052701483E9
869,4.0770643462934566E8,0,2.384185791015625E-7,1315,2.6795093080949564E9
896,4.128489141408711E8,0,2.384185791015625E-7,1364,2.636627700474193E9
929,4.128126225904496E8,0,2.384185791015625E-7,1414,2.6192983431558814E9
923,4.194227628155322E8,0,2.384185791015625E-7,1390,2.631791198279327E9
950,4.1960694134600013E8,0,2.384185791015625E-7,1458,2.64729387541201E9
943,4.22567009874209E8,0,2.384185791015625E-7,1438,2.664987595182133E9
937,4.254834784227784E8,0,2.384185791015625E-7,1418,2.660280159543567E9
928,4.2719930561710376E8,0,2.384185791015625E-7,1395,2.6426872070072064E9
919,4.2287008778286105E8,0,2.384185791015625E-7,1383,2.6245364111565814E9
911,4.241389286148831E8,0,2.384185791015625E-7,1361,2.6400093558376117E9
895,4.196218131867444E8,0,2.384185791015625E-7,1346,2.644875321648784E9
927,4.176468610834054E8,0,2.384185791015625E-7,1399,2.657771480261049E9
915,4.178262927932148E8,0,2.384185791015625E-7,1383,2.660737107661962E9
956,4.196612314042271E8,0,2.384185791015625E-7,1427,2.6558217486578083E9
986,4.238013786125957E8,0,2.384185791015625E-7,1486,2.6978137295153966E9
1028,4.2800234226670855E8,0,2.384185791015625E-7,1529,2.6885908728101907E9
1073,4.315429233950078E8,0,2.384185791015625E-7,1585,2.7065412082994165E9
1064,4.340240930845921E8,0,2.384185791015625E-7,1557,2.698377858753802E9
1044,4.3281963902129346E8,0,2.384185791015625E-7,1538,2.716608334404364E9
1031,4.360164393378355E8,0,2.384185791015625E-7,1519,2.7419029360495896E9
1069,4.402128878521481E8,0,2.384185791015625E-7,1579,2.750617757126777E9
1059,4.4283959050626105E8,0,2.384185791015625E-7,1556,2.774138439719911E9
1051,4.509685188955333E8,0,2.384185791015625E-7,1537,2.809298972914542E9
1038,4.5064566435065687E8,0,2.384185791015625E-7,1514,2.8067007352388906E9
1025,4.552087505783703E8,0,2.384185791015625E-7,1496,2.801068797169647E9
1014,4.596791692461198E8,0,2.384185791015625E-7,1477,2.7662103007802463E9
1051,4.5265885359322107E8,0,2.384185791015625E-7,1529,2.7389205425583315E9
1040,4.576089395525966E8,0,2.384185791015625E-7,1514,2.789117704634182E9
