# date:Wed Nov 24 18:28:30 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:10.0
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
212,2.1877140535620138E8,55,1.290978408197495E8,509,4.255792888437727E9
214,2.1718308891405356E8,58,1.3014729045809641E8,513,4.296788117354245E9
213,2.1689412568131086E8,49,1.0774553570968014E8,516,4.300981512075468E9
214,2.1810703365492707E8,48,1.0192736375003329E8,522,4.312085685104214E9
217,2.1960745313830453E8,44,9.461254091593112E7,523,4.275026009798287E9
220,2.1866354139682415E8,43,9.022488468944398E7,522,4.289838154470979E9
219,2.148071392387673E8,42,8.39995385773993E7,527,4.311671107652274E9
223,2.1308120704892805E8,41,8.120487028959015E7,531,4.333266145802536E9
222,2.1287058275920328E8,37,7.70766087584048E7,538,4.390485943285564E9
224,2.1362766814698812E8,40,7.766538026299198E7,536,4.358409374055918E9
225,2.1291106714524475E8,40,7.467549900278778E7,540,4.388212183509304E9
228,2.1487415686233255E8,41,7.195270327348016E7,537,4.326447505156505E9
233,2.1804451317439708E8,42,7.25617318116408E7,541,4.328356395874516E9
235,2.1984525708105102E8,42,7.317044929285242E7,541,4.2660816506055903E9
237,2.179604334344623E8,43,7.379647873807786E7,545,4.2584265993960557E9
237,2.1840232736919585E8,40,6.901460170166525E7,554,4.277146263300101E9
243,2.215776831114065E8,39,6.618608019353154E7,551,4.25088435352444E9
247,2.24462057685693E8,36,5.646760636174708E7,551,4.29645560190714E9
249,2.2508597468567935E8,36,5.2538574721586995E7,558,4.328544488313383E9
253,2.267845392308957E8,36,5.309832416871481E7,561,4.341710537481288E9
250,2.268436347434474E8,37,5.026037303047181E7,571,4.40343631735404E9
250,2.271278299563166E8,33,5.0353575245137244E7,581,4.423243591815464E9
253,2.2990872534859243E8,31,4.48378754056891E7,582,4.383912906670911E9
253,2.261677232841879E8,31,4.534973753213741E7,584,4.433396205949136E9
256,2.2231262016459578E8,31,4.259849963045204E7,583,4.436856452918072E9
262,2.2531751964255935E8,29,3.893117679535089E7,581,4.370895218425947E9
265,2.2498379044493675E8,26,3.2113358104938816E7,583,4.409639036012777E9
270,2.2629163245032015E8,27,3.262757429142803E7,583,4.383625402325058E9
271,2.2930518159819555E8,26,2.9810091770719647E7,592,4.373306137332422E9
272,2.2784187916567445E8,25,3.019960065001255E7,598,4.356763392198242E9
275,2.2798852557164744E8,24,3.054662969379569E7,603,4.346688947164652E9
279,2.307338277768678E8,25,3.1082157705155548E7,607,4.338344576835322E9
277,2.2935792772064194E8,24,3.070095565181042E7,608,4.331164547882415E9
279,2.2914839351111546E8,22,3.1036439305007014E7,616,4.371333355834081E9
280,2.2830758218858734E8,23,3.156292033739452E7,618,4.310790272892938E9
285,2.3061705038774905E8,22,3.1602184774271835E7,625,4.301442491750031E9
286,2.300378915034729E8,23,3.2119048777718574E7,627,4.304216539782507E9
288,2.330934454276164E8,23,3.2638133112221297E7,636,4.2939198409367104E9
293,2.3513567830178788E8,22,3.24035335573425E7,642,4.2701785842226086E9
293,2.3432224294530082E8,24,3.294647038195115E7,647,4.297105061560437E9
297,2.3740207911662677E8,22,2.8398931366997384E7,656,4.289367998795076E9
303,2.3845024433778E8,21,2.882549194867253E7,656,4.1922121158022633E9
299,2.2921445540746596E8,20,2.5736243933940418E7,661,4.1977725789310546E9
304,2.321582233400756E8,18,2.585248796197224E7,664,4.1261707491424766E9
307,2.3082166209288758E8,17,2.528906822882835E7,671,4.1318965064911375E9
311,2.3398378642256716E8,16,2.492745813326699E7,677,4.105460292709306E9
311,2.349811567751115E8,13,2.401155351844748E7,689,4.134664439321051E9
308,2.278384013399116E8,11,2.4187655232457515E7,696,4.129312172649426E9
312,2.3066076750755215E8,11,2.446414899901515E7,699,4.1662637821827188E9
318,2.3387713778083843E8,10,2.3472393456352137E7,706,4.177778449000843E9
324,2.3650509397711122E8,10,2.367241963394402E7,714,4.2023347017896957E9
326,2.380593505105658E8,10,2.387026341188184E7,723,4.208061877339879E9
328,2.362597515197029E8,10,2.40658084604328E7,725,4.159817737495318E9
334,2.37824783747302E8,10,2.3013494229323674E7,727,4.170669931341452E9
334,2.3932785418907025E8,8,1.634607177298518E7,731,4.195762244868533E9
332,2.4196000457088757E8,8,1.6488164383631403E7,748,4.2259085219438424E9
339,2.423468712215995E8,8,1.6629747265511075E7,753,4.2288827516428485E9
343,2.4545475521877795E8,7,1.3755001039422864E7,755,4.1810149497769437E9
348,2.4675272131603852E8,7,1.3919334064177949E7,760,4.1654584404590063E9
350,2.463003129993908E8,7,1.4081440111388456E7,767,4.155265253690067E9
353,2.4887229216288894E8,7,1.4241244688695414E7,773,4.1554701024897876E9
353,2.4919166365026158E8,7,1.4415978280507173E7,779,4.173224646652489E9
357,2.5255704105814373E8,7,1.458749687255668E7,790,4.1732137116442146E9
364,2.5095861963797495E8,8,1.4769241219540749E7,792,4.1831893627687917E9
365,2.468457425746332E8,8,1.4939434543182645E7,795,4.1762548561908135E9
369,2.484443129353463E8,8,1.5107673503951058E7,800,4.109553708242919E9
369,2.5124808807076687E8,8,1.5274137267332572E7,810,4.0926717840067306E9
377,2.542718417223308E8,8,1.5439007620089158E7,819,4.1240058865039153E9
384,2.5777518540792874E8,6,1.2096883890686266E7,824,4.1190561876402555E9
387,2.602056022433169E8,4,5906024.002500529,828,4.059794394630081E9
391,2.6333558095361093E8,4,6003114.037777704,831,3.9579958115144434E9
397,2.6233897224526507E8,4,6102706.126255528,837,3.972929735132481E9
404,2.6520941891665578E8,3,3479910.185864775,843,3.986462857196646E9
397,2.6565247989379886E8,2,3404175.5897133355,828,3.9965163553035192E9
401,2.660316236595028E8,2,3443625.5843180446,833,3.977784934804614E9
405,2.664677279565965E8,2,3483100.3694658433,844,3.958385838813338E9
410,2.6739036139005414E8,2,3522612.616819769,851,3.9432700139919477E9
417,2.710068365196897E8,2,3562171.4236712563,855,3.9285255851706147E9
421,2.7136307888217306E8,2,3601782.577467225,858,3.8824753558265724E9
427,2.754533350789952E8,2,3641448.822832113,856,3.85498894595826E9
425,2.7858355969026005E8,2,3681170.1277821325,868,3.840236552241953E9
428,2.8190012030052793E8,2,3720943.9463019874,874,3.8607017288259053E9
431,2.855996380612663E8,2,3760765.4748965744,879,3.7903951759923754E9
434,2.862594242737448E8,2,3800627.9011399476,887,3.7710362026721377E9
439,2.905499639280335E8,2,3859173.80879252,899,3.788772534517873E9
442,2.9207023460313046E8,2,3919262.9890463403,906,3.823524355185607E9
454,2.961084878129409E8,2,3980790.4131464353,912,3.8198334394269366E9
456,3.001533451665449E8,2,4043639.3792812414,926,3.8646180268575716E9
460,3.0192644292179716E8,3,4121156.175032414,934,3.90481837810825E9
468,3.061333943541436E8,3,4190302.4486649814,938,3.8877024066651435E9
471,3.028986300522172E8,3,4261096.995460063,936,3.8439484723345013E9
478,3.049188914234104E8,3,4333434.744970998,941,3.8374732565559583E9
483,3.081447830055939E8,1,34158.893009968946,949,3.833233528849621E9
487,3.094319443689575E8,1,41319.488407994766,963,3.831501800132315E9
492,3.129503760479479E8,1,51239.931757899416,971,3.844225203054769E9
492,3.1357245825050414E8,1,62477.15066733831,980,3.845561609229908E9
495,3.152340150637393E8,1,75234.6749360462,981,3.844389522822891E9
503,3.149861524491533E8,1,89382.08849479325,989,3.8007778714445457E9
509,3.155602521218595E8,1,104909.87055150913,994,3.7592979207076483E9
514,3.1712967200860053E8,1,121795.19128899249,996,3.782189758796848E9
